year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,1,1,1,96,235,70,AS,N508AS,145,PDX,ANC,194,1542,0,1
2014,1,1,4,-6,738,-23,US,N195UW,1830,SEA,CLT,252,2279,0,4
2014,1,1,8,13,548,-4,UA,N37422,1609,PDX,IAH,201,1825,0,8
2014,1,1,28,-2,800,-23,US,N547UW,466,PDX,CLT,251,2282,0,28
2014,1,1,34,44,325,43,AS,N762AS,121,SEA,ANC,201,1448,0,34
2014,1,1,37,82,747,88,DL,N806DN,1823,SEA,DTW,224,1927,0,37
2014,1,1,346,227,936,219,UA,N14219,1481,SEA,ORD,202,1721,3,46
2014,1,1,526,-4,1148,15,UA,N813UA,229,PDX,IAH,217,1825,5,26
2014,1,1,527,7,917,24,UA,N75433,1576,SEA,DEN,136,1024,5,27
2014,1,1,536,1,1334,-6,UA,N574UA,478,SEA,EWR,268,2402,5,36
2014,1,1,541,1,911,4,UA,N36476,1569,PDX,DEN,130,991,5,41
2014,1,1,549,24,907,12,US,N548UW,649,PDX,PHX,122,1009,5,49
2014,1,1,550,0,837,-12,DL,N660DL,1634,SEA,SLC,82,689,5,50
2014,1,1,557,-3,1134,-16,AA,N3JLAA,1094,SEA,DFW,184,1660,5,57
2014,1,1,557,-3,825,-25,AS,N562AS,81,SEA,ANC,188,1448,5,57
2014,1,1,558,-2,801,-2,AS,N402AS,200,SEA,SJC,100,697,5,58
2014,1,1,559,-1,916,-9,F9,N210FR,796,PDX,DEN,125,991,5,59
2014,1,1,600,0,1151,-19,AA,N3JFAA,2240,SEA,ORD,206,1721,6,0
2014,1,1,600,-10,842,-8,AS,N786AS,426,SEA,LAX,125,954,6,0
2014,1,1,602,-3,943,5,F9,N201FR,144,SEA,DEN,129,1024,6,2
2014,1,1,602,-3,1204,7,UA,N77295,1573,PDX,ORD,203,1739,6,2
2014,1,1,603,-2,755,-17,AS,N577AS,344,SEA,OAK,94,672,6,3
2014,1,1,603,-3,1202,-2,UA,N37290,1136,SEA,ORD,203,1721,6,3
2014,1,1,606,-4,806,-19,AS,N525AS,308,SEA,SFO,98,679,6,6
2014,1,1,606,6,746,3,AS,N796AS,406,PDX,SJC,87,569,6,6
2014,1,1,614,-1,850,-2,AS,N607AS,524,SEA,SNA,135,978,6,14
2014,1,1,617,2,850,-12,AS,N579AS,494,SEA,SAN,131,1050,6,17
2014,1,1,618,-2,1135,-30,AA,N4XMAA,1650,PDX,DFW,184,1616,6,18
2014,1,1,619,-6,822,-7,VX,N841VA,751,SEA,SFO,101,679,6,19
2014,1,1,620,-2,905,0,OO,N804SK,4693,SEA,LAX,125,954,6,20
2014,1,1,622,2,1412,-19,UA,N36472,1021,PDX,EWR,270,2434,6,22
2014,1,1,623,13,1218,-4,UA,N72405,1101,SEA,IAH,213,1874,6,23
2014,1,1,624,-6,1401,-6,DL,N617DL,968,SEA,ATL,235,2182,6,24
2014,1,1,629,-9,1014,-1,UA,N566UA,883,SEA,DEN,132,1024,6,29
2014,1,1,630,-10,834,-14,OO,N219AG,3456,PDX,BUR,105,817,6,30
2014,1,1,632,-3,1235,5,WN,N8302F,3694,SEA,MDW,204,1733,6,32
2014,1,1,637,-8,858,-7,AS,N408AS,560,PDX,LAX,108,834,6,37
2014,1,1,637,-3,854,-6,AS,N588AS,572,PDX,SAN,120,933,6,37
2014,1,1,638,-2,1003,-5,AS,N508AS,646,PDX,PHX,125,1009,6,38
2014,1,1,638,10,1408,-4,UA,N526UA,250,PDX,IAD,253,2327,6,38
2014,1,1,639,-1,918,3,AS,N794AS,556,SEA,PSP,130,987,6,39
2014,1,1,639,-1,1216,-10,AS,N442AS,668,SEA,DFW,189,1660,6,39
2014,1,1,639,4,1219,-11,WN,N8308K,401,PDX,MDW,207,1751,6,39
2014,1,1,647,-3,923,-2,AS,N315AS,470,SEA,LAX,124,954,6,47
2014,1,1,647,-3,1038,19,AS,N553AS,682,SEA,DEN,136,1024,6,47
2014,1,1,648,-7,1203,-9,AS,N419AS,36,SEA,MSP,164,1399,6,48
2014,1,1,648,-12,910,-11,AS,N611AS,582,PDX,SNA,122,859,6,48
2014,1,1,650,90,1037,91,US,N626AW,460,SEA,PHX,141,1107,6,50
2014,1,1,654,-6,1047,-33,AS,N586AS,833,PDX,HNL,327,2603,6,54
2014,1,1,654,-6,1455,-10,DL,N686DA,418,SEA,JFK,273,2422,6,54
2014,1,1,655,-5,1210,-7,DL,N963DN,2090,PDX,MSP,168,1426,6,55
2014,1,1,656,-4,1242,-28,AA,N3KMAA,2218,PDX,ORD,200,1739,6,56
2014,1,1,656,-4,853,8,VX,N523VA,805,PDX,SFO,82,550,6,56
2014,1,1,700,0,844,-1,UA,N479UA,519,PDX,SFO,80,550,7,0
2014,1,1,701,-4,918,-6,AS,N618AS,606,SEA,LAS,115,867,7,1
2014,1,1,701,1,1036,-9,WN,N8318F,669,SEA,PHX,133,1107,7,1
2014,1,1,702,-3,932,-8,VX,N840VA,1780,SEA,LAX,127,954,7,2
2014,1,1,702,-8,940,-2,OO,N217AG,3472,SEA,LGB,130,965,7,2
2014,1,1,704,-6,1245,-20,AA,N3KNAA,1308,SEA,DFW,188,1660,7,4
2014,1,1,704,-1,910,-9,OO,N223AG,3460,PDX,ONT,106,838,7,4
2014,1,1,705,0,931,9,B6,N627JB,1121,PDX,LGB,113,846,7,5
2014,1,1,706,6,952,-13,AS,N306AS,726,SEA,SLC,86,689,7,6
2014,1,1,708,-7,1510,-19,AA,N3DNAA,236,SEA,JFK,281,2422,7,8
